Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.5772,-89.3828,90.0,top
C10,220pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.2462,-101.0318,90.0,top
C11,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.7132,-94.6148,-90.0,top
C2,10nF 1000V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,49.6212,-92.1693,-90.0,top
C3,10nF 1000V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,60.0412,-92.2468,90.0,top
C4,100uF,CP_Elec_5x5.3,102.1332,-89.2808,90.0,top
C5,100uF,CP_Elec_5x5.3,102.136146,-97.946721,-90.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.2412,-87.5028,180.0,top
C7,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.790377,-88.292632,90.0,top
C8,10nF 1000V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,46.7712,-99.3568,-90.0,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.156435,-87.336319,180.0,top
D1,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.3512,-100.8268,180.0,top
D2,ES1J,D_SMAF,54.559952,-89.258021,0.0,top
D3,ES1J,D_SMAF,54.559952,-92.306021,180.0,top
D4,ES1J,D_SMAF,54.559952,-95.354021,0.0,top
D5,LED_RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.3232,-103.9468,180.0,top
F1,Fuse_Small,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.5772,-93.7008,90.0,top
J1,Conn_01x03_Pin,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,109.7532,-91.3528,-90.0,top
L1,100uH,L_Bourns_SRP7028A_7.3x6.6mm,91.9732,-89.0268,-90.0,top
L2,10mH,L_Radial_D7.2mm_P3.00mm_Murata_1700,90.2512,-98.9328,0.0,top
Q1,MMBTA42,D_SOT-23,65.8872,-89.813829,0.0,top
Q2,MMBT3904,D_SOT-23,65.8872,-94.6148,0.0,top
Q3,MMBT3904,D_SOT-23,35.1822,-99.6293,90.0,top
R1,4KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.0052,-100.8988,0.0,top
R10,100KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.2412,-96.3928,0.0,top
R11,10MΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.0572,-99.6108,-90.0,top
R12,470KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.7132,-90.0428,-90.0,top
R13,47KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,32.7912,-94.6148,90.0,top
R14,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.0052,-103.9468,180.0,top
R15,10KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,35.4362,-103.0638,180.0,top
R16,0Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,32.7912,-89.7888,90.0,top
R17,470KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.5322,-101.0318,90.0,top
R2,10MΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.3432,-99.6108,-90.0,top
R3,10MΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.6292,-99.6108,90.0,top
R4,10MΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.4872,-99.6108,-90.0,top
R5,10MΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,58.2012,-99.6108,90.0,top
R6,10MΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.9152,-99.6108,-90.0,top
R7,68KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.8292,-89.5348,-90.0,top
R8,3KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.790377,-92.356632,90.0,top
R9,68KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.8292,-94.3608,-90.0,top
RV1,100Ω,Potentiometer_Bourns_TC33X_Vertical,77.1412,-100.4568,0.0,top
SW1,SW_Nidec_CAS-120A1,SW_SPDT_PCM12,119.9762,-91.0668,90.0,top
U1,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,77.2412,-92.0748,0.0,top
U2,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,38.1252,-92.0748,0.0,top
